acaryochloris,acaryochloris,IPR014059,9
acaryochloris,acaryochloris,IPR014862,9
acetoanaerobium,acetoanaerobium,IPR005094,1
acetobacter,acetobacter,IPR005094,6
acetobacter,acetobacter,IPR014136,161
acetobacter,acetobacter,IPR014862,385
acetobacterium,acetobacterium,IPR005094,1
acholeplasma,acholeplasma,Tn916,2
achromobacter,achromobacter,GI3,213
achromobacter,achromobacter,ICEPdaSpa1,1
achromobacter,achromobacter,ICEclc,213
achromobacter,achromobacter,ICEhin1056,1
achromobacter,achromobacter,IPR005094,18
achromobacter,achromobacter,IPR011119,216
achromobacter,achromobacter,IPR014059,5
achromobacter,achromobacter,IPR014136,0
achromobacter,achromobacter,IPR014862,6
achromobacter,achromobacter,IPR021300,270
achromobacter,achromobacter,IPR022303,139
achromobacter,achromobacter,IPR022391,210
achromobacter,achromobacter,IPR025955,142
achromobacter,achromobacter,SXT,1
acidaminococcus,acidaminococcus,IPR005094,1
acidiferrobacter,acidiferrobacter,IPR014059,3
acidiferrobacter,acidiferrobacter,IPR014862,5
acidihalobacter,acidihalobacter,IPR011119,1
acidihalobacter,acidihalobacter,IPR014059,1
acidihalobacter,acidihalobacter,IPR014862,1
acidimicrobium,acidimicrobium,IPR014862,1
acidiphilium,acidiphilium,ICEhin1056,0
acidiphilium,acidiphilium,IPR005094,2
acidiphilium,acidiphilium,IPR014059,2
acidiphilium,acidiphilium,IPR014136,1
acidiphilium,acidiphilium,IPR014862,8
acidipropionibacterium,acidipropionibacterium,IPR005094,7
acidipropionibacterium,acidipropionibacterium,IPR014862,24
acidisphaera,acidisphaera,IPR014136,3
acidithiobacillus,acidithiobacillus,IPR005094,2
acidithiobacillus,acidithiobacillus,IPR011119,1
acidithiobacillus,acidithiobacillus,IPR014059,2
acidithiobacillus,acidithiobacillus,IPR014862,2
acidithiobacillus,acidithiobacillus,IPR025955,2
acidobacterium,acidobacterium,IPR014059,3
acidobacterium,acidobacterium,IPR014862,4
acidovorax,acidovorax,GI3,6
acidovorax,acidovorax,ICEclc,6
acidovorax,acidovorax,IPR005094,10
acidovorax,acidovorax,IPR011119,19
acidovorax,acidovorax,IPR014059,7
acidovorax,acidovorax,IPR014862,8
acidovorax,acidovorax,IPR021300,17
acidovorax,acidovorax,IPR022303,18
acidovorax,acidovorax,IPR022391,17
acidovorax,acidovorax,IPR025955,23
acinetobacter,acinetobacter,CTn341,2
acinetobacter,acinetobacter,ICEEc1,28
acinetobacter,acinetobacter,ICEEc2,6299
acinetobacter,acinetobacter,ICEKp1,10
acinetobacter,acinetobacter,ICEPdaSpa1,1365402
acinetobacter,acinetobacter,ICEhin1056,485940
acinetobacter,acinetobacter,IPR005094,765
acinetobacter,acinetobacter,IPR011119,24
acinetobacter,acinetobacter,IPR011952,14
acinetobacter,acinetobacter,IPR014059,310671
acinetobacter,acinetobacter,IPR014129,2
acinetobacter,acinetobacter,IPR014136,10
acinetobacter,acinetobacter,IPR014862,310678
acinetobacter,acinetobacter,IPR021300,3
acinetobacter,acinetobacter,IPR022303,2
acinetobacter,acinetobacter,IPR022391,3
acinetobacter,acinetobacter,IPR025955,459891
acinetobacter,acinetobacter,R391,741288
acinetobacter,acinetobacter,SXT,1365384
acinetobacter,acinetobacter,Tn4555,5
acinetobacter,acinetobacter,Tn916,0
acinetobacter,acinetobacter,pKLC102,0
actinobacillus,actinobacillus,ICEhin1056,160
actinobacillus,actinobacillus,IPR005094,2
actinobacillus,actinobacillus,IPR011119,14
actinobacillus,actinobacillus,IPR020369,1
actinobacillus,actinobacillus,IPR021300,14
actinobacillus,actinobacillus,IPR022303,14
actinobacillus,actinobacillus,IPR022391,11
actinobacillus,actinobacillus,IPR025955,14
actinomadura,actinomadura,IPR005094,1
actinomyces,actinomyces,IPR005094,2
actinoplanes,actinoplanes,IPR005094,1
actinopolyspora,actinopolyspora,IPR014862,1
adlercreutzia,adlercreutzia,IPR005094,1
advenella,advenella,IPR005094,1
aerococcus,aerococcus,IPR005094,2
aerococcus,aerococcus,Tn916,9
aeromicrobium,aeromicrobium,IPR014862,1
aeromonas,aeromonas,GI3,1
aeromonas,aeromonas,ICEEc2,42
aeromonas,aeromonas,ICEPdaSpa1,435
aeromonas,aeromonas,ICEclc,1
aeromonas,aeromonas,ICEhin1056,81
aeromonas,aeromonas,IPR005094,129
aeromonas,aeromonas,IPR011119,60
aeromonas,aeromonas,IPR014059,28
aeromonas,aeromonas,IPR014129,27
aeromonas,aeromonas,IPR014136,2
aeromonas,aeromonas,IPR014862,28
aeromonas,aeromonas,IPR021300,4
aeromonas,aeromonas,IPR022303,4
aeromonas,aeromonas,IPR022391,2
aeromonas,aeromonas,IPR025955,111
aeromonas,aeromonas,R391,0
aeromonas,aeromonas,SXT,438
afipia,afipia,IPR014136,0
afipia,afipia,IPR014862,0
aggregatibacter,aggregatibacter,IPR011119,23
aggregatibacter,aggregatibacter,IPR022391,22
agreia,agreia,IPR014862,1
agrobacterium,agrobacterium,IPR005094,62
agrobacterium,agrobacterium,IPR014136,155
agrobacterium,agrobacterium,IPR014862,1
agromyces,agromyces,IPR014862,4
ahniella,ahniella,IPR011119,1
ahniella,ahniella,IPR025955,1
akkermansia,akkermansia,IPR005094,36
alcaligenes,alcaligenes,ICEPdaSpa1,1
alcaligenes,alcaligenes,IPR005094,1
alcaligenes,alcaligenes,IPR011119,10
alcaligenes,alcaligenes,IPR014059,8
alcaligenes,alcaligenes,IPR014862,8
alcaligenes,alcaligenes,IPR021300,18
alcaligenes,alcaligenes,IPR022303,10
alcaligenes,alcaligenes,IPR022391,3
alcaligenes,alcaligenes,IPR025955,10
alcaligenes,alcaligenes,SXT,1
alcanivorax,alcanivorax,ICEPdaSpa1,1
alcanivorax,alcanivorax,IPR005094,1
alcanivorax,alcanivorax,IPR011119,8
alcanivorax,alcanivorax,IPR021300,8
alcanivorax,alcanivorax,IPR022303,8
alcanivorax,alcanivorax,IPR022391,8
alcanivorax,alcanivorax,IPR025955,8
alcanivorax,alcanivorax,SXT,1
alicycliphilus,alicycliphilus,IPR005094,2
alicycliphilus,alicycliphilus,IPR011119,5
alicycliphilus,alicycliphilus,IPR014059,1
alicycliphilus,alicycliphilus,IPR014862,1
alicycliphilus,alicycliphilus,IPR021300,3
alicycliphilus,alicycliphilus,IPR022303,3
alicycliphilus,alicycliphilus,IPR022391,3
alicycliphilus,alicycliphilus,IPR025955,7
aliivibrio,aliivibrio,ICEEc2,1
aliivibrio,aliivibrio,ICEhin1056,1
aliivibrio,aliivibrio,IPR011119,1
aliivibrio,aliivibrio,IPR014059,1
aliivibrio,aliivibrio,IPR014129,1
aliivibrio,aliivibrio,IPR014862,1
aliivibrio,aliivibrio,IPR025955,2
alistipes,alistipes,CTn341,416
alistipes,alistipes,IPR005094,206
alistipes,alistipes,Tn4555,6
alkaliphilus,alkaliphilus,ICEhin1056,1
alkaliphilus,alkaliphilus,IPR005094,2
alloactinosynnema,alloactinosynnema,IPR014862,2
altererythrobacter,altererythrobacter,IPR014059,3
altererythrobacter,altererythrobacter,IPR014136,1
